ingredients,urls,pareto,unit,spice,faktor,price,purchase_size
abrikosmarmelade,4,False,,,,,
gnocchi,4,False,,,,,
skært oksekød,4,False,,,,,
grader,4,False,,,,,
vesterhavsost,4,False,,,,,
barbecuesauce,4,False,,,,,
balsamico glace,4,False,,,,,
bakke jordbær,4,False,,,,,
øl,4,False,,,,,
g,4,False,,,,,
cointreau,4,False,,,,,
koteletter,4,False,,,,,
håndfulde rucola,4,,,,,,
sennepsfrø,4,False,,,,,
røget makrel,4,False,,,,,
lunkent vand,3,False,,,,,
suppehøne,3,False,,,,,
surdej,3,False,,,,,
syltede agurker,3,False,,,,,
tabasco,3,False,,,,,
blåskimmelost,3,False,,,,,
tamarind paste,3,False,,,,,
mandarin,3,False,,,,,
