ingredients,pareto,purchase_unit,spice,price,purchase_size
sort fondant,False,,,,
cashewnøddesmør,True,g,0.0,40.0,100.0
solsikkeolie,False,,,,
solbær,False,,,,
g),False,,,,
smør salt,True,g,0.0,26.0,200.0
frosne bananer,False,,,,
skiver flutes,False,,,,
hyldeblomstskærme,False,,,,
hyldebærsaft,False,,,,
skiver ost,True,g,0.0,40.0,10.0
skiver parmaskinke,False,,,,
spiseligt sølvstøv,False,,,,
spsk. citronsaft herfra,False,,,,
saft og,False,,,,
stængler frisk salvie,True,g,1.0,,
abrikoser,False,,,,
tun steak (til sushi),False,,,,
ribbensteg,False,,,,
dryp ahornsirup,False,,,,
hvedekerner,False,,,,
riseddike,False,,,,
jordbærsyltetøj,False,,,,
romainesalat,False,,,,
jomfruhummer,False,,,,
hønsebryst,False,,,,
rygeost,False,,,,
avocadoolie,False,,,,
geleringsmiddel,False,,,,
burrata,False,,,,
hvid quinoa,True,g,0.0,25.0,400.0
butternut squash,True,stk,0.0,25.0,1.0
frisk tortellini,True,g,0.0,30.0,250.0
hønsefond,False,,,,
mørk sirup,False,,,,
pasta orzo,False,,,,
fintrevet skal herfra,False,,,,
kirsebærvin,False,,,,
gul karrypasta,False,,,,
mangosirup,False,,,,
usaltede peanuts,False,,,,
mel,False,,,,
